epoch,step,train_loss_epoch,train_loss_step,val_loss
0,5,,,0.6710508465766907
0,5,1.0901654958724976,,
1,11,,,0.7281315326690674
1,11,0.919197678565979,,
2,17,,,0.8099678754806519
2,17,0.8135725855827332,,
3,23,,,0.7552027702331543
3,23,0.818790078163147,,
4,29,,,0.7305994629859924
4,29,0.7907389998435974,,
5,35,,,0.7310703992843628
5,35,0.7707854509353638,,
6,41,,,0.7563809156417847
6,41,0.7805918455123901,,
7,47,,,0.7177392244338989
7,47,0.7490103244781494,,
8,49,,0.544011116027832,
8,53,,,0.7326884269714355
8,53,0.7650613784790039,,
9,59,,,0.7449418306350708
9,59,0.7558680176734924,,
10,65,,,0.7753939032554626
10,65,0.7436089515686035,,
11,71,,,0.7543982267379761
11,71,0.7382774353027344,,
12,77,,,0.7356377840042114
12,77,0.716202437877655,,
13,83,,,0.7409692406654358
13,83,0.7287473082542419,,
14,89,,,0.7299560308456421
14,89,0.7209129333496094,,
15,95,,,0.7491971254348755
15,95,0.7057712078094482,,
16,99,,0.9116172790527344,
16,101,,,0.7887527346611023
16,101,0.6840819716453552,,
17,107,,,0.7515759468078613
17,107,0.6895900368690491,,
18,113,,,0.7578607797622681
18,113,0.6982940435409546,,
19,119,,,0.796378493309021
19,119,0.6804805994033813,,
