epoch,step,train_loss_epoch,val_loss
0,0,,2.1736338138580322
0,0,1.616998553276062,
1,1,,2.1376004219055176
1,1,1.662947416305542,
2,2,,2.1153805255889893
2,2,1.5834542512893677,
3,3,,2.090466260910034
3,3,1.5540939569473267,
4,4,,2.0465638637542725
4,4,1.5168060064315796,
5,5,,1.9929317235946655
5,5,1.5365315675735474,
6,6,,1.9409765005111694
6,6,1.50496244430542,
7,7,,1.8872281312942505
7,7,1.517972707748413,
8,8,,1.8443059921264648
8,8,1.5296969413757324,
9,9,,1.8127471208572388
9,9,1.517775297164917,
10,10,,1.7902284860610962
10,10,1.4694751501083374,
11,11,,1.7782803773880005
11,11,1.5112255811691284,
12,12,,1.7755711078643799
12,12,1.5242812633514404,
13,13,,1.7771106958389282
13,13,1.4724936485290527,
14,14,,1.7834535837173462
14,14,1.4744248390197754,
15,15,,1.7912712097167969
15,15,1.5110059976577759,
16,16,,1.7996509075164795
16,16,1.501802921295166,
17,17,,1.8086445331573486
17,17,1.498061180114746,
18,18,,1.8173425197601318
18,18,1.5202972888946533,
19,19,,1.8271406888961792
19,19,1.4177926778793335,
